Age,Class_of_Worker,Detailed_Industry_recode,Detailed_Occupation_Recode,Education,Wage_per_Hour,Enroll_in _Edu_inst_last_week,Marital_stat,major_industry_code,major_occupation_code,race,hispanic_orgin,sex,member_of_a_labor_union,reason_for_unemployment,full_or_part_time_employment_sata,capital_gains,capital_losses,dividends_from_stocks,tax_filer_stat,region_of_previous_residence,state_of_previous_residence,detailed_household_and_family_stat,detailed_household_summary_in_household,instance_weight,migration_code-change_in_msa,migration_code-change_in_reg,migration_code-move_within_reg,live_in_this_house_1_year_ago,migration_prev_res_in_sunbelt,num_persons_worked_for_employer,family_members_under_18,country_of_birth_father,country_of_birth_mother,country_of_birth_self,citizenship,own_business_or_self_employed,fill_inc_questionnaire_for_veterans_admin,veterans_benefits, weeks_worked_in_year,year,class
27,Self-employed-not_incorporated,4,2,12th_grade_no_diploma,0,Not_in_universe,Married-civilian_spouse_present,Construction,Executive_admin_and_managerial,White,Puerto_Rican,Male,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Joint_both_under_65,Not_in_universe,Not_in_universe,Householder,Householder,941.93,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,1,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,52,94,-_50000.
45,Private,37,12,Bachelors_degree(BA_AB_BS),0,Not_in_universe,Married-civilian_spouse_present,Business_and_repair_services,Professional_specialty,White,All_other,Female,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,11,Joint_both_under_65,Midwest,Indiana,Spouse_of_householder,Spouse_of_householder,1757.67,MSA_to_MSA,Same_county,Same_county,No,No,3,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,52,94,-_50000.
42,Private,37,31,Some_college_but_no_degree,0,Not_in_universe,Never_married,Business_and_repair_services,Other_service,White,All_other,Male,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,9799,Single,Not_in_universe,Not_in_universe,Child_18+_never_marr_Not_in_a_subfamily,Child_18_or_older,5334.5,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,2,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,52,94,-_50000.
26,Private,33,19,High_school_graduate,0,Not_in_universe,Married-civilian_spouse_present,Retail_trade,Sales,White,All_other,Female,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Joint_both_under_65,Not_in_universe,Not_in_universe,Spouse_of_householder,Spouse_of_householder,2032.85,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,6,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,26,94,-_50000.
1,Not_in_universe,0,0,Children,0,Not_in_universe,Never_married,Not_in_universe_or_children,Not_in_universe,White,Mexican_(Mexicano),Female,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Nonfiler,Not_in_universe,Not_in_universe,Other_Rel_<18_never_marr_child_of_subfamily_RP,Other_relative_of_householder,2487.82,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,0,Both_parents_present,Mexico,Mexico,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,0,0,94,-_50000.
3,Not_in_universe,0,0,Children,0,Not_in_universe,Never_married,Not_in_universe_or_children,Not_in_universe,White,All_other,Female,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Nonfiler,Not_in_universe,Not_in_universe,Child_<18_never_marr_not_in_subfamily,Child_under_18_never_married,1667.99,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,0,Both_parents_present,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,0,0,94,-_50000.
78,Not_in_universe,0,0,High_school_graduate,0,Not_in_universe,Married-civilian_spouse_present,Not_in_universe_or_children,Not_in_universe,White,All_other,Male,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Joint_both_65+,Not_in_universe,Not_in_universe,Householder,Householder,1415.56,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,0,Not_in_universe,Cambodia,Italy,Italy,Foreign_born-_U_S_citizen_by_naturalization,0,Not_in_universe,2,0,94,-_50000.
13,Not_in_universe,0,0,Children,0,Not_in_universe,Never_married,Not_in_universe_or_children,Not_in_universe,White,All_other,Female,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Nonfiler,South,Massachusetts,Grandchild_<18_never_marr_not_in_subfamily,Other_relative_of_householder,2058.09,MSA_to_MSA,Different_state_same_division,Different_state_in_South,No,No,0,Neither_parent_present,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,0,0,94,-_50000.
4,Not_in_universe,0,0,Children,0,Not_in_universe,Never_married,Not_in_universe_or_children,Not_in_universe,White,All_other,Male,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Nonfiler,Not_in_universe,Not_in_universe,Child_<18_never_marr_not_in_subfamily,Child_under_18_never_married,2039.23,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,0,Both_parents_present,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,0,0,94,-_50000.
39,State_government,43,10,Masters_degree(MA_MS_MEng_MEd_MSW_MBA),0,Not_in_universe,Married-civilian_spouse_present,Education,Professional_specialty,White,All_other,Female,No,Not_in_universe,Children_or_Armed_Forces,5178,0,0,Joint_both_under_65,Not_in_universe,Not_in_universe,Householder,Householder,1213.85,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,5,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,52,94,-_50000.
26,Private,33,42,Bachelors_degree(BA_AB_BS),0,Not_in_universe,Never_married,Retail_trade,Handlers_equip_cleaners_etc,White,All_other,Male,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Single,Not_in_universe,Not_in_universe,Child_18+_never_marr_Not_in_a_subfamily,Child_18_or_older,1724.64,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,1,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,52,94,-_50000.
28,State_government,43,26,Some_college_but_no_degree,0,Not_in_universe,Married-civilian_spouse_present,Education,Adm_support_including_clerical,Asian_or_Pacific_Islander,All_other,Male,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Joint_both_under_65,Not_in_universe,Not_in_universe,Householder,Householder,910.37,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,2,Not_in_universe,United-States,El-Salvador,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,40,94,-_50000.
37,Private,33,16,High_school_graduate,0,Not_in_universe,Married-civilian_spouse_present,Retail_trade,Sales,White,All_other,Male,No,Not_in_universe,Children_or_Armed_Forces,0,0,50,Joint_both_under_65,Not_in_universe,Not_in_universe,Householder,Householder,616.82,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,2,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,52,94,-_50000.
57,Not_in_universe,0,0,10th_grade,0,Not_in_universe,Married-civilian_spouse_present,Not_in_universe_or_children,Not_in_universe,White,All_other,Female,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Joint_both_under_65,Not_in_universe,Not_in_universe,Householder,Householder,3306.61,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,1,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,4,94,-_50000.
27,Not_in_universe,0,0,High_school_graduate,0,Not_in_universe,Married-civilian_spouse_present,Not_in_universe_or_children,Not_in_universe,White,All_other,Male,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,3464,0,0,Joint_both_under_65,Abroad,Abroad,Householder,Householder,1963.42,Abroad_to_nonMSA,Abroad,Abroad,No,No,6,Not_in_universe,United-States,United-States,Germany,Native-_Born_abroad_of_American_Parent(s),0,Not_in_universe,2,52,94,-_50000.
6,Not_in_universe,0,0,Children,0,Not_in_universe,Never_married,Not_in_universe_or_children,Not_in_universe,White,All_other,Female,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Nonfiler,Not_in_universe,Not_in_universe,Child_<18_never_marr_not_in_subfamily,Child_under_18_never_married,296.63,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,0,Mother_only_present,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,0,0,94,-_50000.
25,Private,42,13,Some_college_but_no_degree,2825,Not_in_universe,Never_married,Medical_except_hospital,Technicians_and_related_support,White,All_other,Male,No,Not_in_universe,Children_or_Armed_Forces,0,0,0,Single,Not_in_universe,Not_in_universe,Nonfamily_householder,Householder,2691.02,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,6,Not_in_universe,United-States,Germany,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,52,94,-_50000.
90,Not_in_universe,0,0,1st_2nd_3rd_or_4th_grade,0,Not_in_universe,Widowed,Not_in_universe_or_children,Not_in_universe,Black,All_other,Female,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Single,Not_in_universe,Not_in_universe,Nonfamily_householder,Householder,1697.6,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,2,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,40,94,-_50000.
59,Private,4,34,High_school_graduate,0,Not_in_universe,Married-civilian_spouse_present,Construction,Precision_production_craft_&_repair,White,All_other,Male,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Joint_both_under_65,Not_in_universe,Not_in_universe,Householder,Householder,2073.21,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,6,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,52,94,-_50000.
14,Not_in_universe,0,0,Children,0,Not_in_universe,Never_married,Not_in_universe_or_children,Not_in_universe,White,All_other,Female,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Nonfiler,Not_in_universe,Not_in_universe,Child_<18_never_marr_not_in_subfamily,Child_under_18_never_married,1168.4,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,0,Both_parents_present,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,0,0,94,-_50000.
23,Private,33,26,Some_college_but_no_degree,0,Not_in_universe,Married-civilian_spouse_present,Retail_trade,Adm_support_including_clerical,Asian_or_Pacific_Islander,All_other,Female,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Joint_both_under_65,West,California,Spouse_of_householder,Spouse_of_householder,2853.63,MSA_to_MSA,Same_county,Same_county,No,No,2,Not_in_universe,China,China,Vietnam,Foreign_born-_Not_a_citizen_of_U_S,0,Not_in_universe,2,52,94,-_50000.
24,Private,33,29,Bachelors_degree(BA_AB_BS),0,Not_in_universe,Married-civilian_spouse_present,Retail_trade,Other_service,Asian_or_Pacific_Islander,All_other,Female,No,Not_in_universe,Children_or_Armed_Forces,0,0,0,Joint_both_under_65,Not_in_universe,Not_in_universe,Spouse_of_householder,Spouse_of_householder,527.95,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,1,Not_in_universe,China,China,China,Foreign_born-_U_S_citizen_by_naturalization,0,Not_in_universe,2,52,94,-_50000.
52,Private,39,31,Masters_degree(MA_MS_MEng_MEd_MSW_MBA),0,Not_in_universe,Married-civilian_spouse_present,Personal_services_except_private_HH,Other_service,White,All_other,Male,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Joint_both_under_65,Not_in_universe,Not_in_universe,Spouse_of_householder,Spouse_of_householder,1064.96,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,6,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,52,94,-_50000.
10,Not_in_universe,0,0,Children,0,Not_in_universe,Never_married,Not_in_universe_or_children,Not_in_universe,Black,All_other,Female,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Nonfiler,Not_in_universe,Not_in_universe,Child_<18_never_marr_not_in_subfamily,Child_under_18_never_married,2562.92,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,0,Mother_only_present,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,0,0,94,-_50000.
27,Private,29,41,High_school_graduate,0,Not_in_universe,Married-civilian_spouse_present,Transportation,Handlers_equip_cleaners_etc,White,All_other,Female,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Joint_both_under_65,Not_in_universe,Not_in_universe,Spouse_of_householder,Spouse_of_householder,2291.16,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,6,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,52,94,-_50000.
58,Private,36,27,Associates_degree-academic_program,0,Not_in_universe,Married-civilian_spouse_present,Private_household_services,Private_household_services,White,All_other,Female,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Joint_both_under_65,Not_in_universe,Not_in_universe,Other_Rel_18+_ever_marr_RP_of_subfamily,Other_relative_of_householder,2177.53,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,1,Not_in_universe,Poland,Poland,Poland,Foreign_born-_Not_a_citizen_of_U_S,0,Not_in_universe,2,52,94,-_50000.
30,Not_in_universe,0,0,High_school_graduate,0,Not_in_universe,Married-civilian_spouse_present,Not_in_universe_or_children,Not_in_universe,White,All_other,Female,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Nonfiler,South,Arkansas,Householder,Householder,1176.32,MSA_to_MSA,Same_county,Same_county,No,Yes,1,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,14,94,-_50000.
27,Private,16,35,High_school_graduate,0,Not_in_universe,Married-civilian_spouse_present,Manufacturing-durable_goods,Precision_production_craft_&_repair,White,Other_Spanish,Female,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Joint_both_under_65,Not_in_universe,Not_in_universe,Spouse_of_householder,Spouse_of_householder,704.01,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,3,Not_in_universe,Dominican-Republic,Dominican-Republic,Dominican-Republic,Foreign_born-_Not_a_citizen_of_U_S,0,Not_in_universe,2,36,94,-_50000.
56,Not_in_universe,0,0,High_school_graduate,0,Not_in_universe,Never_married,Not_in_universe_or_children,Not_in_universe,White,All_other,Female,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Nonfiler,Midwest,Minnesota,Other_Rel_18+_never_marr_not_in_subfamily,Other_relative_of_householder,1164.99,MSA_to_MSA,Different_region,Different_state_in_Midwest,No,No,0,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,0,94,-_50000.
46,Private,9,36,Some_college_but_no_degree,0,Not_in_universe,Married-civilian_spouse_present,Manufacturing-durable_goods,Machine_operators_assmblrs_&_inspctrs,White,All_other,Female,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Joint_both_under_65,Not_in_universe,Not_in_universe,Spouse_of_householder,Spouse_of_householder,1294.7,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,5,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,39,94,-_50000.
15,Not_in_universe,0,0,7th_and_8th_grade,0,Not_in_universe,Never_married,Not_in_universe_or_children,Not_in_universe,White,All_other,Male,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Single,Not_in_universe,Not_in_universe,Child_<18_never_marr_not_in_subfamily,Child_under_18_never_married,368.23,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,3,Both_parents_present,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,16,94,-_50000.
13,Not_in_universe,0,0,Children,0,Not_in_universe,Never_married,Not_in_universe_or_children,Not_in_universe,White,All_other,Male,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Nonfiler,Not_in_universe,Not_in_universe,Child_<18_never_marr_not_in_subfamily,Child_under_18_never_married,218.68,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,0,Both_parents_present,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,0,0,94,-_50000.
22,Private,33,41,Associates_degree-occup_/vocational,0,Not_in_universe,Never_married,Retail_trade,Handlers_equip_cleaners_etc,White,All_other,Male,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Single,Not_in_universe,Not_in_universe,Nonfamily_householder,Householder,2162.94,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,6,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,52,94,-_50000.
63,Private,2,44,9th_grade,0,Not_in_universe,Married-civilian_spouse_present,Agriculture,Farming_forestry_and_fishing,Black,All_other,Male,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Joint_both_under_65,Not_in_universe,Not_in_universe,Householder,Householder,1877.1,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,1,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,52,94,-_50000.
9,Not_in_universe,0,0,Children,0,Not_in_universe,Never_married,Not_in_universe_or_children,Not_in_universe,Black,All_other,Female,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Nonfiler,Not_in_universe,Not_in_universe,Grandchild_<18_never_marr_not_in_subfamily,Other_relative_of_householder,2575.1,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,0,Neither_parent_present,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,0,0,94,-_50000.
0,Not_in_universe,0,0,Children,0,Not_in_universe,Never_married,Not_in_universe_or_children,Not_in_universe,White,All_other,Female,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Nonfiler,Not_in_universe,Not_in_universe,Child_<18_never_marr_not_in_subfamily,Child_under_18_never_married,1916.92,Not_in_universe,Not_in_universe,Not_in_universe,Not_in_universe_under_1_year_old,Not_in_universe,0,Both_parents_present,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,0,0,94,-_50000.
83,Not_in_universe,0,0,High_school_graduate,0,Not_in_universe,Married-civilian_spouse_present,Not_in_universe_or_children,Not_in_universe,White,All_other,Female,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Nonfiler,Not_in_universe,Not_in_universe,Spouse_of_householder,Spouse_of_householder,2211.06,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,0,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,0,94,-_50000.
76,Private,22,42,5th_or_6th_grade,0,Not_in_universe,Never_married,Manufacturing-nondurable_goods,Handlers_equip_cleaners_etc,White,All_other,Male,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Single,Not_in_universe,Not_in_universe,Nonfamily_householder,Householder,2505.84,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,4,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,No,1,52,94,-_50000.
22,Private,33,16,Bachelors_degree(BA_AB_BS),0,Not_in_universe,Never_married,Retail_trade,Sales,White,All_other,Female,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Single,Midwest,Minnesota,Child_18+_never_marr_Not_in_a_subfamily,Child_18_or_older,1650.78,MSA_to_MSA,Different_county_same_state,Different_county_same_state,No,No,6,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,2,Not_in_universe,2,52,94,-_50000.
40,Private,17,26,Bachelors_degree(BA_AB_BS),0,Not_in_universe,Married-civilian_spouse_present,Manufacturing-durable_goods,Adm_support_including_clerical,White,All_other,Female,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Joint_both_under_65,Not_in_universe,Not_in_universe,Spouse_of_householder,Spouse_of_householder,797.72,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,6,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,48,94,-_50000.
66,Self-employed-incorporated,45,3,Bachelors_degree(BA_AB_BS),0,Not_in_universe,Married-civilian_spouse_present,Other_professional_services,Executive_admin_and_managerial,White,All_other,Male,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,10605,0,0,Joint_both_65+,Not_in_universe,Not_in_universe,Householder,Householder,1865.09,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,2,Not_in_universe,Germany,Hungary,United-States,Native-_Born_in_the_United_States,0,No,1,52,94,50000+.
23,Private,11,23,Some_college_but_no_degree,0,Not_in_universe,Never_married,Manufacturing-durable_goods,Adm_support_including_clerical,White,All_other,Female,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Head_of_household,Not_in_universe,Not_in_universe,Householder,Householder,3840.77,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,3,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,52,94,-_50000.
43,Private,18,33,High_school_graduate,0,Not_in_universe,Married-civilian_spouse_present,Manufacturing-durable_goods,Precision_production_craft_&_repair,White,Other_Spanish,Male,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Joint_both_under_65,Not_in_universe,Not_in_universe,Householder,Householder,709.87,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,5,Not_in_universe,Nicaragua,Nicaragua,Nicaragua,Foreign_born-_Not_a_citizen_of_U_S,0,Not_in_universe,2,51,94,-_50000.
34,Not_in_universe,0,0,7th_and_8th_grade,0,Not_in_universe,Never_married,Not_in_universe_or_children,Not_in_universe,White,All_other,Male,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Nonfiler,Not_in_universe,Not_in_universe,Child_18+_never_marr_Not_in_a_subfamily,Child_18_or_older,2594.24,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,0,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,0,94,-_50000.
26,Private,41,13,Associates_degree-academic_program,0,Not_in_universe,Married-civilian_spouse_present,Hospital_services,Technicians_and_related_support,White,All_other,Female,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Joint_both_under_65,Not_in_universe,Not_in_universe,Spouse_of_householder,Spouse_of_householder,3154.71,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,5,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,2,Not_in_universe,2,52,94,-_50000.
54,Local_government,43,31,High_school_graduate,0,Not_in_universe,Married-civilian_spouse_present,Education,Other_service,White,All_other,Female,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Joint_both_under_65,Not_in_universe,Not_in_universe,Spouse_of_householder,Spouse_of_householder,1816.74,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,0,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,0,94,-_50000.
33,Private,24,36,Associates_degree-academic_program,0,Not_in_universe,Married-spouse_absent,Manufacturing-nondurable_goods,Machine_operators_assmblrs_&_inspctrs,White,Mexican-American,Male,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Head_of_household,Not_in_universe,Not_in_universe,Householder,Householder,2230.8,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,4,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,52,94,-_50000.
12,Not_in_universe,0,0,Children,0,Not_in_universe,Never_married,Not_in_universe_or_children,Not_in_universe,White,All_other,Male,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Nonfiler,West,Alaska,Child_<18_never_marr_not_in_subfamily,Child_under_18_never_married,223.16,NonMSA_to_nonMSA,Same_county,Same_county,No,No,0,Father_only_present,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,0,0,94,-_50000.
8,Not_in_universe,0,0,Children,0,Not_in_universe,Never_married,Not_in_universe_or_children,Not_in_universe,White,All_other,Male,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Nonfiler,Not_in_universe,Not_in_universe,Child_<18_never_marr_not_in_subfamily,Child_under_18_never_married,1823.98,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,0,Both_parents_present,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,0,0,94,-_50000.
34,Private,33,24,High_school_graduate,655,Not_in_universe,Divorced,Retail_trade,Adm_support_including_clerical,White,All_other,Female,No,Not_in_universe,Children_or_Armed_Forces,0,0,0,Head_of_household,West,Abroad,Householder,Householder,374.79,Not_identifiable,Same_county,Same_county,No,No,1,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,52,94,-_50000.
69,Not_in_universe,0,0,High_school_graduate,0,Not_in_universe,Widowed,Not_in_universe_or_children,Not_in_universe,White,All_other,Female,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Single,Not_in_universe,Not_in_universe,Householder,Householder,996.92,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,0,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,0,94,-_50000.
64,Not_in_universe,0,0,11th_grade,0,Not_in_universe,Married-civilian_spouse_present,Not_in_universe_or_children,Not_in_universe,White,All_other,Female,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Nonfiler,Not_in_universe,Not_in_universe,Spouse_of_householder,Spouse_of_householder,1701.5,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,0,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,0,94,-_50000.
23,Private,42,13,Some_college_but_no_degree,1000,Not_in_universe,Never_married,Medical_except_hospital,Technicians_and_related_support,White,All_other,Female,No,Not_in_universe,Children_or_Armed_Forces,0,0,0,Single,West,California,Grandchild_18+_never_marr_not_in_subfamily,Other_relative_of_householder,3761.04,MSA_to_MSA,Different_county_same_state,Different_county_same_state,No,Yes,1,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,22,94,-_50000.
7,Not_in_universe,0,0,Children,0,Not_in_universe,Never_married,Not_in_universe_or_children,Not_in_universe,White,All_other,Female,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,0,Nonfiler,Not_in_universe,Not_in_universe,Child_<18_never_marr_not_in_subfamily,Child_under_18_never_married,4035.27,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,0,Both_parents_present,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,0,0,94,-_50000.
20,State_government,43,29,Some_college_but_no_degree,486,College_or_university,Married-civilian_spouse_present,Education,Other_service,White,All_other,Male,No,Not_in_universe,Children_or_Armed_Forces,0,0,0,Joint_both_under_65,Not_in_universe,Not_in_universe,Householder,Householder,1737.87,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,2,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,2,Not_in_universe,2,30,94,-_50000.
37,Private,35,23,High_school_graduate,0,Not_in_universe,Married-civilian_spouse_present,Finance_insurance_and_real_estate,Adm_support_including_clerical,White,All_other,Female,Not_in_universe,Not_in_universe,Children_or_Armed_Forces,0,0,2,Joint_both_under_65,Not_in_universe,Not_in_universe,Spouse_of_householder,Spouse_of_householder,1051.08,Nonmover,Nonmover,Nonmover,Yes,Not_in_universe,6,Not_in_universe,United-States,United-States,United-States,Native-_Born_in_the_United_States,0,Not_in_universe,2,52,94,-_50000.
